Name,code
ECON 2052: Game Theory I: Equilibrium Theory,ECON 2052
ENG-SCI 94: Entrepreneurship and Innovation: Practical and Academic Insights,ENG-SCI 94
FRSEMR 50R: What Do You See in the Night Sky?,FRSEMR 50R
SOCIOL 1145: Children’s Rights and Youth Participation,SOCIOL 1145
"PHYSCI 12A: Mechanics and Statistical Physics from an Analytic, Numerical and Experimental Perspective",PHYSCI 12A
ECON 1723: Capital Markets,ECON 1723
"HDS 3931/RELIGION 1661: The Yoga Sutras: Text, Meaning, Purpose",HDS 3931/RELIGION 1661
E-PSCI 162/ENG-SCI 162: Hydrology and Environmental Geomechanics,E-PSCI 162/ENG-SCI 162
COMPSCI 282R: Topics in Machine Learning: Inverse Problems in Reinforcement Learning-with healthcare applications,COMPSCI 282R
ENG-SCI 28: Science Technology and Society,ENG-SCI 28
SCIPHUNV 26: Primitive Navigation,SCIPHUNV 26
"ECON 985GB: Research in Finance, Trade, International Economics, and Econometrics",ECON 985GB
COMPSCI 187/COMPSCI 1870: Introduction to Computational Linguistics and Natural-language Processing,COMPSCI 187/COMPSCI 1870
GOV 1368/SUP 447: The Politics of American Education,GOV 1368/SUP 447
GOV 94CM: International Law and International Organizations,GOV 94CM
"DES 3479/PHIL 166T: Philosophy of Technology: From Marx and Heidegger to AI, Genome Editing and Geoengineering (HKS)",DES 3479/PHIL 166T
"TDM 90BR: Bodies and the Metaverse: Performing ""The Singularity Play""",TDM 90BR
CLS-STDY 112: Regional Study: Sicily,CLS-STDY 112
BE 124/ENG-SCI 224: Biomechanics of Movement and Assistive Robotics,BE 124/ENG-SCI 224
ECON 1338: Inequality and Poverty,ECON 1338
GOV 97: Tutorial - Sophomore Year,GOV 97
ENGLISH 195BD: The Dark Side of Big Data,ENGLISH 195BD
MUSIC 250HFB: Colloquium on Teaching Pedagogy,MUSIC 250HFB
COMPSCI 196/EDU T217: Designing K–12 Computer Science Learning Experiences,COMPSCI 196/EDU T217
GOV 1740: International Law and Institutions,GOV 1740
ECON 1818: Economics of Discontinuous Change,ECON 1818
SOCIOL 98AB: Junior Tutorial: Urban Politics in the Global City,SOCIOL 98AB
"ENG-SCI 28: Technology, Ethics, and Society",ENG-SCI 28
GENED 1131: Loss,GENED 1131
GREEK 104: Herodotus,GREEK 104
AFRAMER 120X: African American Theatre,AFRAMER 120X
ECON 10A: Principles of Economics,ECON 10A
MUSIC 14/MUSIC 14A/MUSIC 14B: Harvard-Radcliffe Collegium Musicum,MUSIC 14/MUSIC 14A/MUSIC 14B
PSY 1019: Using Data for Justice,PSY 1019
GOV 1010: Survey Research Methods,GOV 1010
ECON 1152/ECON 50/EDU A218/SUP 135: Using Big Data to Solve Economic and Social Problems,ECON 1152/ECON 50/EDU A218/SUP 135
GOV 2001: Quantitative Social Science Methods I,GOV 2001
ECON 50A/SUP 135: Using Big Data to Solve Economic and Social Problems with Laboratory Component,ECON 50A/SUP 135
GOV 2001: Advanced Quantitative Research Methodology,GOV 2001
COMPSCI 51: Abstraction and Design in Computation,COMPSCI 51
GOV 1002: Advanced Quantitative Political Methodology,GOV 1002
GOV 2006: Formal Models of Domestic Politics,GOV 2006
LING 111: First Language Acquisition,LING 111
PSY 3260: Conceptual Development: Research Seminar,PSY 3260
"HISTSCI 285/HISTSCI 2985/IGA 513: Science, Power, and Politics",HISTSCI 285/HISTSCI 2985/IGA 513
GENED 1071: Wakanda Revisited: African Spirituality in Ancient and Modern Times,GENED 1071
ENGLISH 52: Poets: Poetry and Everything,ENGLISH 52
"HAA 198M: Native Books, Images and Things in 16th & 17th Century New Spain and Peru",HAA 198M
PSY 1055: In Search of the Perfect School,PSY 1055
PSY 1900: Introduction to Statistics for the Behavioral Sciences,PSY 1900
TDM 180B: Art for the not yet and the yet to be,TDM 180B
GENED 1079: Why Is There No Cure for Health?,GENED 1079
ENGLISH 98R: Tutorial - Junior Year,ENGLISH 98R
EDU A816/EMR 129: Education in Armed Conflict,EDU A816/EMR 129
GOV 2752: Strategic Models in International Relations,GOV 2752
ENG-SCI 291/HAA 177X: Nano Micro Macro: Adaptive Material Laboratory,ENG-SCI 291/HAA 177X
GENED 1066: Rationality,GENED 1066
EMREAS 20: Why is There No Cure for Health Care?,EMREAS 20
MICROBI 213: Social Issues in Biology,MICROBI 213
ESPP 11: Sustainable Development,ESPP 11
ECON 1460: Economics of Health Care Policy,ECON 1460
"APMTH 232/ENG-SCI 202: Learning, Estimation, and Control of Dynamical Systems",APMTH 232/ENG-SCI 202
APMTH 158/ENG-SCI 158: Feedback Control Systems: Analysis and Design,APMTH 158/ENG-SCI 158
APMTH 104: Series Expansions and Complex Analysis,APMTH 104
APMTH 226: Theory of Neural Computation,APMTH 226
APMTH 202: Physical Mathematics II,APMTH 202
APMTH 220: Geometric Methods for Machine Learning,APMTH 220
APMTH 205: Advanced Scientific Computing: Numerical Methods,APMTH 205
"APMTH 104: Complex Analysis and Series Expansions for Applications to Science, Engineering and Finance",APMTH 104
APMTH 158/ENG-SCI 158: Introduction to Optimal Control and Estimation,APMTH 158/ENG-SCI 158
APMTH 107: Graph Theory and Combinatorics,APMTH 107
APCOMP 227/APMTH 227: Computational Methods in the Physical Sciences,APCOMP 227/APMTH 227
APMTH 201: Physical Mathematics I,APMTH 201
"APMTH 207: Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization",APMTH 207
APMTH 216: Inverse Problems in Science and Engineering,APMTH 216
APMTH 104: Complex and Fourier Analysis with Applications to Science and Engineering,APMTH 104
APMTH 217: Patterns,APMTH 217
APMTH 226: Neural Computation,APMTH 226
APMTH 230/PHYSICS 230: Active Matter,APMTH 230/PHYSICS 230
PHYSICS 201: Data Analysis for Physicists,PHYSICS 201
PHYSICS 201: Data Analysis for Physical Sciences,PHYSICS 201
